,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
922,RIOK1,-0.09683766,-0.09839916,0.9216153403248275,TTC30A,-0.51300406,-0.015936559,0.98728500423689,ESAM,-1.1026268,-0.04624306,0.9631165209104645,COLGALT2,-22.272968,-0.07691668,0.938689825506996,C10orf25,-21.106468,-0.036791,0.9706516495884776,ATP5SL,-0.15494204,0.13196218,0.8950142003500493,ASB15,-19.746569,-0.008308816,0.9933706008218255,NXT2,0.4233009,0.46102798,0.644778537093811,AC005082.12,-23.615784,-0.04812152,0.9616193949038955
923,RP11-398C13.6,-1.227113,-0.10227522,0.9185382194745464,CTD-2012K14.7,-0.4507038,-0.015936559,0.98728500423689,KDM3B,-0.192407,-0.0462777,0.9630889125462254,MNAT1,-0.047453646,-0.078500696,0.937429777033874,CCDC62,-21.061493,-0.036791,0.9706516495884776,GOT2,-0.13494882,0.13196218,0.8950142003500493,CTD-2358C21.4,-19.770504,-0.008308816,0.9933706008218255,PMEPA1,2.5164878,0.4597606,0.6456880611561684,FRY-AS1,-23.62794,-0.04812152,0.9616193949038955
924,SUV420H2,-0.27376315,-0.10415453,0.9170467182789591,OTOF,-0.5148914,-0.015936559,0.98728500423689,LAMP2,-0.028972179,-0.046797287,0.9626747924119325,ABI2,0.032778747,-0.0793848,0.9367265620896956,RP11-211G3.2,-21.63758,-0.036791,0.9706516495884776,PCNA,-0.12819569,0.13128805,0.8955474439781064,CTD-2033C11.1,-19.883333,-0.008308816,0.9933706008218255,ZRANB3,3.6063986,0.45781082,0.6470883636846874,ZNF682,-23.749023,-0.04812152,0.9616193949038955
925,TADA2A,-0.31670842,-0.10485927,0.9164874803100735,INPP5A,-0.4597565,-0.015998447,0.9872356298171003,UTP6,0.060646243,-0.050884686,0.9594174074307049,SARDH,-0.4260917,-0.0796795,0.9364921680486119,AL928742.12,-21.501154,-0.036791,0.9706516495884776,SCGB1C1,1.0172752,0.13027684,0.8963473978408275,KB-1980E6.3,-19.842602,-0.008308816,0.9933706008218255,RABEP2,0.7728301,0.4553736,0.6488404998910267,RP4-612B15.3,-23.669641,-0.04812152,0.9616193949038955
926,CR1,-0.3801817,-0.105564006,0.9159282836664501,hsa-mir-1199,-0.5990559,-0.015998447,0.9872356298171003,FBXW4,-0.33554867,-0.050953966,0.9593622032006431,ANTXR2,0.100187376,-0.07971633,0.9364628691800524,MEG3,-21.06179,-0.036791,0.9706516495884776,ZNF841,0.83530384,0.12985551,0.8966807431011568,RP4-555D20.2,-19.94112,-0.008308816,0.9933706008218255,TREML2,2.068627,0.4550811,0.649050887149131,KIR2DL3,-23.935795,-0.0505276,0.9597019583354768
927,RP11-430B1.2,-0.5908937,-0.1072084,0.9146236537500452,IPO9-AS1,-0.4263288,-0.015998447,0.9872356298171003,MRM1,-0.69686496,-0.055664867,0.9556087865645062,CTNNAL1,-0.6773706,-0.07975317,0.9364335703975304,RP11-178L8.7,-21.320667,-0.036791,0.9706516495884776,AP4S1,0.10788363,0.12859151,0.8976808880816995,CCDC40,-19.899557,-0.008308816,0.9933706008218255,STK38,-0.36455384,0.4541062,0.6497523801786709,CTNND1,-23.519135,-0.0505276,0.9597019583354768
928,CEP164,-0.03661112,-0.10785441,0.9141111832963028,C5AR2,-0.6687864,-0.015998447,0.9872356298171003,CACNA1C-AS1,-21.694277,-0.055838063,0.9554708115535656,FAM63B,0.095423825,-0.080232054,0.9360526940721273,RP11-356N1.2,-21.360067,-0.036791,0.9706516495884776,DPH6,-0.07989448,0.12838084,0.897847594760346,PDF,-20.042185,-0.008308816,0.9933706008218255,SPEN,0.41793925,0.45186394,0.6513669920930272,LSM14B,-23.67641,-0.0505276,0.9597019583354768
929,SMARCC2,0.13346931,-0.10855915,0.9135521653484089,C5orf56,-0.073533125,-0.016060337,0.987186255446198,C15orf26,-21.73657,-0.055838063,0.9554708115535656,ARIH2OS,0.02833929,-0.08045308,0.9358769099292694,RP11-490M8.1,-21.282185,-0.036791,0.9706516495884776,AGO4,0.1201097,0.12833871,0.897880936637359,RP11-879F14.1,-20.134115,-0.008308816,0.9933706008218255,RPUSD4,0.9181606,0.4513765,0.6517182114890205,RP11-66N24.3,-23.62825,-0.0505276,0.9597019583354768
930,RP11-219B4.7,-22.465807,-0.109058335,0.9131562201610663,ZNF436,-1.2455959,-0.016060337,0.987186255446198,CTD-2227I18.1,-21.634754,-0.055838063,0.9554708115535656,ACTL6A,-0.007101929,-0.082294956,0.9344121644415807,TACR2,-21.623161,-0.036791,0.9706516495884776,SDHAF2,-0.17058332,0.12762244,0.8984477760837599,SPATA13-AS1,-19.788048,-0.008308816,0.9933706008218255,ITGA2B,0.81700355,0.4505966,0.6522803232470037,SAMD1,-23.724152,-0.0505276,0.9597019583354768
931,OTOF,-22.250599,-0.109058335,0.9131562201610663,MMP9,-0.85116726,-0.016060337,0.987186255446198,TMPRSS11E,-21.606369,-0.055838063,0.9554708115535656,CARHSP1,0.066759415,-0.08491042,0.9323326084846945,RP11-159H10.3,-21.385866,-0.036791,0.9706516495884776,ABCC10,-0.08189812,0.1273275,0.8986811956393844,CGN,-19.752365,-0.008308816,0.9933706008218255,B4GALT4,0.7295628,0.44562462,0.6558684187888997,RASD1,-23.752584,-0.0505276,0.9597019583354768
932,CTD-2537I9.12,-22.434303,-0.109058335,0.9131562201610663,RP11-314N13.3,-0.7917159,-0.016060337,0.987186255446198,LNP1,-21.72054,-0.055838063,0.9554708115535656,RP1-28O10.1,-22.514563,-0.089736134,0.9284969037475689,RP11-77H9.2,-21.438593,-0.036791,0.9706516495884776,SPIN1,-0.05703985,0.12564217,0.900015189230204,RP11-532F6.5,-20.08885,-0.008308816,0.9933706008218255,GUCD1,0.018376349,0.4447472,0.6565024403100683,OBSCN,-23.858494,-0.0505276,0.9597019583354768
933,ZNF436,-22.390537,-0.109058335,0.9131562201610663,RP11-285J16.1,-20.029602,-0.016586399,0.9867665752940747,NEDD4,-21.746006,-0.055838063,0.9554708115535656,KIF3C,-22.449476,-0.089736134,0.9284969037475689,HRASLS,-21.009258,-0.036791,0.9706516495884776,EID2,1.3343669,0.12501016,0.9005155098598479,CCDC38,-19.726597,-0.008308816,0.9933706008218255,VPS28,0.08880346,0.44172505,0.658688183897933,IFIT1,-0.2088515,-0.051730637,0.9587433267698465
934,RSPH9,-22.3943,-0.109058335,0.9131562201610663,RP11-885N19.6,-20.318954,-0.016586399,0.9867665752940747,SAMD14,-21.825924,-0.055838063,0.9554708115535656,PARS2,-22.401243,-0.089736134,0.9284969037475689,RP11-110I1.14,-20.98444,-0.036791,0.9706516495884776,CHPF2,-0.27197787,0.12446242,0.9009491530548808,RP11-516C1.1,-20.1449,-0.008308816,0.9933706008218255,DCAF5,0.15894356,0.44162756,0.6587587404554864,SH3GLB1,-0.54967594,-0.052246224,0.958332502852123
935,hsa-mir-1199,-22.198315,-0.109058335,0.9131562201610663,TUBB8,-20.111145,-0.016586399,0.9867665752940747,NEUROD2,-21.636393,-0.055838063,0.9554708115535656,HGD,-22.805408,-0.089736134,0.9284969037475689,GLS2,-21.285896,-0.036791,0.9706516495884776,TMEM140,-0.35861707,0.124125354,0.9012160251081447,RP1-102G20.5,-20.10085,-0.008308816,0.9933706008218255,CDK16,0.7095724,0.43899533,0.6606649140320628,SERPINF1,-23.549116,-0.052933674,0.9577847548617534
936,SMIM5,-22.480099,-0.109058335,0.9131562201610663,TP63,-20.02551,-0.016586399,0.9867665752940747,RP11-932O9.7,-21.802898,-0.055838063,0.9554708115535656,FSTL1,-22.825922,-0.089736134,0.9284969037475689,SYTL4,-21.574377,-0.036791,0.9706516495884776,PTCRA,-0.4020954,0.123830415,0.9014495473152284,RP11-481J2.2,-19.835033,-0.008308816,0.9933706008218255,RASD1,2.401458,0.43538824,0.6632806551520058,MACROD2,-23.915379,-0.052933674,0.9577847548617534
937,COLGALT2,-22.450054,-0.109058335,0.9131562201610663,LINC01122,-19.981836,-0.016586399,0.9867665752940747,VIL1,-21.719381,-0.055838063,0.9554708115535656,GPR84,-22.202934,-0.089736134,0.9284969037475689,MAP1A,-21.033533,-0.036791,0.9706516495884776,C16orf58,0.19121091,0.123830415,0.9014495473152284,DCSTAMP,-19.740334,-0.008308816,0.9933706008218255,BAZ2A,0.31318456,0.4346083,0.6638467623041963,CES4A,-23.76265,-0.052933674,0.9577847548617534
938,C5AR2,-22.310541,-0.109058335,0.9131562201610663,RP11-302F12.10,-20.098152,-0.016586399,0.9867665752940747,HIST1H4I,-21.50229,-0.055838063,0.9554708115535656,PLA2G4C,-22.185198,-0.089736134,0.9284969037475689,CTD-2012J19.3,-21.352844,-0.036791,0.9706516495884776,AC005082.12,0.24961098,0.12374615,0.9015162695132175,NLGN2,-20.069195,-0.008308816,0.9933706008218255,PACS1,0.3168154,0.43402338,0.6642714686305293,RP11-164H13.1,-24.026356,-0.052933674,0.9577847548617534
939,EFCAB4A,-22.09327,-0.109058335,0.9131562201610663,RP4-545C24.1,-20.138414,-0.016586399,0.9867665752940747,RP11-308N19.1,-21.750025,-0.055838063,0.9554708115535656,RP11-527L4.5,-22.56098,-0.089736134,0.9284969037475689,KCNH3,-21.291044,-0.036791,0.9706516495884776,RHEBL1,-0.00081928255,0.121765874,0.9030844404515996,RP11-382A18.2,-19.712622,-0.008308816,0.9933706008218255,F11R,2.148314,0.43343845,0.66469628279346,GYS1,-23.758776,-0.05533975,0.9558677955520801
940,INPP5A,-22.236956,-0.109058335,0.9131562201610663,PF4V1,-20.110006,-0.016586399,0.9867665752940747,ANKRD50,-21.778355,-0.055838063,0.9554708115535656,CAMK2N1,-22.55516,-0.089736134,0.9284969037475689,MEIS1,-21.161594,-0.036791,0.9706516495884776,DNAJB14,-0.22419779,0.12020694,0.9043192243443614,SYNPO,-20.098122,-0.008308816,0.9933706008218255,PTPRN2,0.560727,0.43070874,0.6666801712564372,KCNG1,-24.18888,-0.05533975,0.9558677955520801
941,RIN2,-22.28209,-0.109058335,0.9131562201610663,RP11-700J17.2,-20.105469,-0.016586399,0.9867665752940747,RP13-314C10.5,-21.65226,-0.055838063,0.9554708115535656,HOMER2,-22.301699,-0.089736134,0.9284969037475689,AC068580.6,-21.257875,-0.036791,0.9706516495884776,DISP1,0.685259,0.11906933,0.905220429078654,RP11-65N13.8,-20.024525,-0.008308816,0.9933706008218255,DDX56,0.018720005,0.428369,0.6683825050888026,ZNF232,-23.792614,-0.05533975,0.9558677955520801
942,TTC8,-22.333702,-0.109058335,0.9131562201610663,SEMA3D,-19.951487,-0.016586399,0.9867665752940747,GATA2,-21.850248,-0.055838063,0.9554708115535656,ATP8B3,-22.36479,-0.089736134,0.9284969037475689,SPOCD1,-21.65844,-0.036791,0.9706516495884776,DOCK10,-0.18666376,0.11793172,0.9061217558928724,KB-1460A1.3,-19.84587,-0.008308816,0.9933706008218255,TOP1MT,0.4065541,0.42398196,0.6715789760967172,TAF12,-0.5501682,-0.05533975,0.9558677955520801
943,LINC00984,-22.009853,-0.109058335,0.9131562201610663,TMEM56,-20.252058,-0.016586399,0.9867665752940747,KCNJ14,-21.70471,-0.055838063,0.9554708115535656,YES1,-22.653929,-0.089736134,0.9284969037475689,KRTAP5-AS1,-21.284203,-0.036791,0.9706516495884776,VPS13A,-0.281101,0.11746825,0.9064889978485022,GPC2,-19.878761,-0.008308816,0.9933706008218255,RNF14,0.2451768,0.42398196,0.6715789760967172,EVA1B,-23.783232,-0.05533975,0.9558677955520801
944,MMP9,-22.42986,-0.109058335,0.9131562201610663,GPC2,-20.111145,-0.016586399,0.9867665752940747,SUOX,-21.79066,-0.055838063,0.9554708115535656,CTD-2015H6.3,-22.408812,-0.089736134,0.9284969037475689,SEC14L5,-21.015007,-0.036791,0.9706516495884776,ZNF628,0.0037580351,0.11696266,0.9068896482371299,RP11-885N19.6,-20.086552,-0.008308816,0.9933706008218255,ZNF232,1.3636228,0.42368948,0.6717922863147227,TNFRSF17,-23.875261,-0.05533975,0.9558677955520801
945,LINC00494,-22.381483,-0.109058335,0.9131562201610663,RP1-102G20.5,-20.333256,-0.016586399,0.9867665752940747,TEX12,-21.709406,-0.055838063,0.9554708115535656,NT5M,-22.441114,-0.089736134,0.9284969037475689,ZNF433,-21.240639,-0.036791,0.9706516495884776,SURF6,-0.12399451,0.11666772,0.9071233719122349,TUBB8,-19.878761,-0.008308816,0.9933706008218255,GPR171,0.1243898,0.42310455,0.6722189860382297,RP11-488C13.5,-23.872118,-0.057745825,0.9539510914715753
946,ELANE,-22.395134,-0.109058335,0.9131562201610663,RP11-65N13.8,-20.256922,-0.016586399,0.9867665752940747,ST7L,0.12711707,-0.057881765,0.9538428083148487,TNS1,-22.314362,-0.089736134,0.9284969037475689,NPPA-AS1,-21.271421,-0.036791,0.9706516495884776,C5orf56,-0.17171694,0.115909316,0.9077244125294531,RP11-271M24.2,-19.79008,-0.008308816,0.9933706008218255,CD82,-0.20913342,0.42222714,0.6728592336175128,BLM,-23.89354,-0.057745825,0.9539510914715753
947,SRP9,0.005054869,-0.1090877,0.9131329299380038,RP11-532F6.5,-20.321253,-0.016586399,0.9867665752940747,TMEM62,0.15444782,-0.05802032,0.9537324421080575,RP11-496I9.1,-22.318085,-0.089736134,0.9284969037475689,RP4-684O24.5,-21.20637,-0.036791,0.9706516495884776,MED30,-0.21570285,0.11367624,0.9094944487837356,MOGAT1,-19.814852,-0.008308816,0.9933706008218255,RP11-488C13.5,1.0017984,0.41920495,0.6750663441628006,MRM1,-23.866455,-0.057745825,0.9539510914715753
948,MRE11A,-0.26211295,-0.1099099,0.9124808340542265,AL161784.1,-19.98087,-0.016586399,0.9867665752940747,TIMM17A,0.1885985,-0.05864382,0.9532358051875454,CTTN,-22.450071,-0.089736134,0.9284969037475689,TAL1,-21.285923,-0.036791,0.9706516495884776,RASD1,0.20113558,0.11342344,0.9096948587247912,CTC-548K16.1,-19.883333,-0.008308816,0.9933706008218255,UBAC2,0.013255113,0.41550037,0.6777756498176228,HBA1,-24.415274,-0.057745825,0.9539510914715753
949,ARL2,0.020783493,-0.11058527,0.9119452279260097,CACNA1F,-20.072271,-0.016586399,0.9867665752940747,TSC22D1,-0.36562565,-0.05968299,0.9524081174349609,CLDN5,-23.038488,-0.089736134,0.9284969037475689,RP11-359I18.5,-21.428173,-0.036791,0.9706516495884776,IL16,-0.18498963,0.11317064,0.9098952744123979,CTC-297N7.1,-19.735096,-0.008308816,0.9933706008218255,DEDD,0.49819556,0.4152079,0.6779897205231891,SLC48A1,-24.112375,-0.0601519,0.9520346536809292
950,NEK8,-0.41924396,-0.111906655,0.9108974188080645,CCNB3,-20.293821,-0.016586399,0.9867665752940747,TNFRSF9,-0.24654642,-0.05975227,0.95235294006675,AP001462.6,-22.437847,-0.089736134,0.9284969037475689,RAB12,-21.382566,-0.036791,0.9706516495884776,CECR5,-0.185242,0.1122437,0.91063018089422,RP11-197N18.7,-19.840431,-0.008308816,0.9933706008218255,TSPAN15,1.2212857,0.41472045,0.6783465627967824,TRIM23,-24.025608,-0.0601519,0.9520346536809292
951,CLEC2B,-0.11005375,-0.112317756,0.9105714652626082,AARD,-20.852236,-0.016586399,0.9867665752940747,CPNE2,-0.37703446,-0.059890825,0.9522425860158138,SDAD1,0.0030821029,-0.09091493,0.927560186687485,CTC-260E6.6,-21.280754,-0.036791,0.9706516495884776,TDG,-0.15041962,0.1112325,0.9114319842435471,CTD-2283N19.1,-20.045053,-0.008308816,0.9933706008218255,CEACAM4,2.0167751,0.41316062,0.6794889425375421,TGFBRAP1,-23.969378,-0.0601519,0.9520346536809292
952,ASXL2,0.061817408,-0.11284631,0.9101524042547647,DCSTAMP,-19.972708,-0.016586399,0.9867665752940747,NEFH,-0.8396409,-0.059960105,0.9521874093336161,ADAL,-0.12700938,-0.09187271,0.9267991779316241,CTD-2541M15.1,-21.155603,-0.036791,0.9706516495884776,DNAJC10,-0.16919462,0.11114823,0.9114988052716121,MNS1,-19.838268,-0.008308816,0.9933706008218255,SAMD4B,0.23012988,0.41023594,0.681632887717884,PDCD1,-24.109518,-0.0601519,0.9520346536809292
953,B4GALT4,-0.1977106,-0.1137566,0.909430746729862,LOX,-20.063122,-0.016586399,0.9867665752940747,RAB38,-0.83746403,-0.06009866,0.9520770566570812,SPTSSB,-1.1945328,-0.09290416,0.9259797049456622,SERPINE1,-21.192719,-0.036791,0.9706516495884776,OSBPL7,0.53542167,0.10921009,0.9130358607051188,RP11-384C4.7,-19.906618,-0.008308816,0.9933706008218255,CST7,-0.4219194,0.4086761,0.6827773785460488,U2SURP,0.09567858,-0.0615268,0.9509396701857111
954,CCDC22,-0.06721291,-0.116193816,0.907498936398639,KB-1460A1.3,-20.07825,-0.016586399,0.9867665752940747,FMO4,-0.96357405,-0.06016794,0.9520218806632716,PPP2CA,0.03738902,-0.0936409,0.9253944151234758,PLIN5,-21.1676,-0.036791,0.9706516495884776,SAMD4B,-0.14090447,0.10849382,0.9136039855771478,RP11-1096G20.5,-20.03224,-0.008308816,0.9933706008218255,NAPA-AS1,1.3289338,0.4059464,0.6847819921955585,TMEM14C,-0.18123202,-0.061870527,0.9506659387039031
955,SLC25A12,-0.42891014,-0.11783821,0.9061958546301362,AC096559.1,-20.005363,-0.016586399,0.9867665752940747,ARG2,-1.0732415,-0.060306493,0.9519115293658875,C16orf80,0.04187677,-0.094193466,0.924955474237484,BHLHE40-AS1,-21.29888,-0.036791,0.9706516495884776,PRRG4,0.6468252,0.108114615,0.9139047754608687,GJC3,-20.98057,-0.008308816,0.9933706008218255,KLC4,1.5035337,0.4057514,0.6849252640800385,ENHO,-23.895845,-0.06255798,0.9501184932362124
956,TNFRSF9,-1.5640267,-0.12053971,0.9040556271603082,LINC01132,-19.994495,-0.016586399,0.9867665752940747,LILRA4,-1.3739877,-0.060306493,0.9519115293658875,SURF6,-0.17386186,-0.094488166,0.9247213817643618,BEND2,-21.134903,-0.036791,0.9706516495884776,NUDCD1,0.28317493,0.10744048,0.914439543453473,ACTA2-AS1,-19.714935,-0.008308816,0.9933706008218255,TCTA,0.3858169,0.40565392,0.6849969042732333,CCL4L1,-24.137066,-0.06255798,0.9501184932362124
957,ARG2,-1.584693,-0.120598435,0.9040091081592907,CTD-2283N19.1,-20.277454,-0.016586399,0.9867665752940747,C5orf15,0.008832946,-0.061311025,0.9511115101670861,CDC16,0.014307897,-0.09585115,0.92363878918254,MAP3K8,-0.0007335378,-0.037933577,0.9697406406414089,RBM4,-0.15133318,0.10685061,0.9149074972295221,SLC24A3,-19.856861,-0.008308816,0.9933706008218255,TCEA2,0.41657048,0.40536144,0.6852118418498097,FAM120C,-23.968933,-0.06255798,0.9501184932362124
958,ALOX12,-1.7769434,-0.12065716,0.9039625894877445,CGN,-19.98474,-0.016586399,0.9867665752940747,RWDD4,-0.036581412,-0.062488753,0.9501736194279893,SLC19A1,-0.062454365,-0.09666158,0.9229951524026891,WDR44,0.24993458,-0.038695298,0.9691333232056933,TADA2A,0.03818271,0.10659781,0.9151080578863179,SYNGR3,-19.818003,-0.008308816,0.9933706008218255,LIX1L,-0.17408693,0.40438655,0.6859284843998452,CEACAM4,-24.008408,-0.06255798,0.9501184932362124
959,PRELID2,-1.7985997,-0.120833345,0.9038230354515142,MREG,-19.951487,-0.016586399,0.9867665752940747,ZFYVE28,-0.34444913,-0.062800504,0.9499253657324699,ZNF559,-0.16370882,-0.09982961,0.9204796053814059,ZFAND4,0.06662496,-0.039380845,0.9685867528083374,PRR5L,-0.10342323,0.10617647,0.9154423376520318,PF4V1,-19.877623,-0.008308816,0.9933706008218255,CDKN2A,1.4249763,0.40165684,0.6879365850498069,PAWR,-24.12786,-0.06255798,0.9501184932362124
960,SLC27A1,0.1057792,-0.12288883,0.9021951256689618,SYNPO,-20.330526,-0.016586399,0.9867665752940747,HAVCR2,-0.09131259,-0.06321617,0.9495943683697194,PGM2L1,-0.12312059,-0.09997696,0.9203626223602344,BMPR2,0.50725216,-0.039609358,0.9684045659422827,ATP10D,-0.1772778,0.10609221,0.9155091954016084,PDE6H,-20.007986,-0.008308816,0.9933706008218255,SCAPER,0.34547484,0.4012669,0.6882236366925639,DTX3,-23.966715,-0.06255798,0.9501184932362124
961,TMEM140,-0.25217262,-0.123299934,0.9018695928339974,CHRM3,-19.97846,-0.016586399,0.9867665752940747,DSCR3,-0.1437676,-0.06415142,0.948849656190473,CNEP1R1,-0.07053493,-0.10211353,0.9186665634843185,FRY-AS1,-0.48610318,-0.039685532,0.9683438373529133,DLST,-0.12605266,0.103690594,0.917414890720237,CACNA1F,-19.839891,-0.008308816,0.9933706008218255,AGPAT1,0.67124295,0.40087694,0.6885107332558944,FKBP5,-0.2403128,-0.06393288,0.949023673186489
962,FBXO4,-0.06749964,-0.124503866,0.9009163417935626,RGPD8,-20.071732,-0.016586399,0.9867665752940747,IDUA,-0.7455259,-0.06456709,0.948518687302787,C1orf198,-22.560284,-0.10255558,0.9183157006927797,ZUFSP,0.074545756,-0.04052342,0.9676758350633519,PIGU,-0.22849694,0.10331139,0.9177158336467662,TMEM56,-20.01966,-0.008308816,0.9933706008218255,WDR37,0.6345039,0.4001945,0.6890132602216495,NAPA-AS1,-24.0758,-0.064964056,0.9482026211886844
963,ZNF747,-0.57515794,-0.12465069,0.9008001014138094,RP11-231D20.2,-20.048805,-0.016586399,0.9867665752940747,GSTZ1,0.011502324,-0.06470565,0.9484083663113194,RP11-701P16.5,-22.501009,-0.10255558,0.9183157006927797,MRE11A,0.2859635,-0.04052342,0.9676758350633519,RP11-379F4.4,23.05199,0.102974325,0.9179833483693957,RP11-317G6.1,-19.835033,-0.008308816,0.9933706008218255,MBNL1-AS1,1.705156,0.39814723,0.6905216638954619,RP11-70P17.1,-24.055475,-0.064964056,0.9482026211886844
964,DIS3,-0.16763799,-0.12476814,0.9007071106415653,MOGAT1,-20.04723,-0.016586399,0.9867665752940747,RP11-792A8.4,0.03368193,-0.06647224,0.9470018610916252,SAMD12,-22.47921,-0.10255558,0.9183157006927797,RP11-400F19.6,-0.17348632,-0.041475568,0.9669167691095932,TUBB1,-0.47944576,0.10255299,0.918317754826791,RP11-216P16.2,-20.002562,-0.008308816,0.9933706008218255,GRAP,0.32360393,0.39726982,0.6911684994627622,SLC2A13,-24.16128,-0.064964056,0.9482026211886844
965,RBM7,-0.050154272,-0.12532605,0.9002654231050671,NKX3-1,-19.96842,-0.016586399,0.9867665752940747,STAU1,-0.104230806,-0.066680074,0.9468364006627482,RFPL2,-22.696564,-0.10255558,0.9183157006927797,ADAL,-0.06038197,-0.043265607,0.965489806811938,ZBTB10,-0.09744475,0.102384456,0.9184515214589667,KLRC3,-19.934948,-0.008308816,0.9933706008218255,PUM1,0.68663037,0.39405265,0.693542156000927,DPY19L4,-23.988283,-0.064964056,0.9482026211886844
966,NR2C2AP,-0.05415828,-0.1267649,0.8991264770450653,RP11-91A18.4,-20.169802,-0.016586399,0.9867665752940747,CDC16,0.028747864,-0.067961715,0.9458161122909969,PROK2,-22.77563,-0.10255558,0.9183157006927797,SPPL2A,0.13373278,-0.043417953,0.9653683682506352,PXMP4,-0.04545149,0.10036205,0.9200569000091857,CST11,-19.741291,-0.008308816,0.9933706008218255,PTGDS,2.5327463,0.3938577,0.6936861109560395,FASTKD1,-23.897287,-0.064964056,0.9482026211886844
967,RP11-1000B6.3,-22.64294,-0.12723473,0.898754621164965,CTC-498J12.3,-20.022964,-0.016586399,0.9867665752940747,ASXL2,-0.13680641,-0.068238825,0.9455955210268511,FAXDC2,-22.95284,-0.10255558,0.9183157006927797,SNHG12,0.06518606,-0.043494124,0.9653076492710254,CUL4B,-0.06257434,0.10027778,0.9201237978992615,CYP46A1,-20.17051,-0.008308816,0.9933706008218255,SHOC2,0.11493936,0.3928828,0.6944060514686101,ALDH1A1,-24.00787,-0.064964056,0.9482026211886844
968,CLDN5,-23.215908,-0.12723473,0.898754621164965,AC017002.2,-20.020426,-0.016586399,0.9867665752940747,MCM10,-21.257093,-0.06979758,0.9443547733732993,BIRC5,-22.278183,-0.10255558,0.9183157006927797,ACPP,-0.5042007,-0.044141583,0.9647915461018042,SLC25A14,-0.015159502,0.09977218,0.9205251970944941,LBX2,-19.775478,-0.008308816,0.9933706008218255,HELQ,0.27017075,0.39268783,0.6945500726861374,KLC4,-23.948956,-0.064964056,0.9482026211886844
969,CTTN,-22.62722,-0.12723473,0.898754621164965,FAM225A,-20.024746,-0.016586399,0.9867665752940747,RP11-378J18.3,-22.25048,-0.06979758,0.9443547733732993,PRKAR2B,-22.38158,-0.10255558,0.9183157006927797,AC092295.7,-0.686539,-0.04429393,0.964670112197585,JARID2,-0.06802669,0.09833964,0.9216626044410363,CELF6-1,-19.806507,-0.008308816,0.9933706008218255,TTN-AS1,1.2284956,0.39229786,0.6948381481991683,EIF1AY,-0.56404215,-0.06599523,0.9473816241907613
970,ATP8B3,-22.541908,-0.12723473,0.898754621164965,CTD-2033C11.1,-20.115717,-0.016586399,0.9867665752940747,SMTN,-21.818007,-0.06979758,0.9443547733732993,PLCL1,-22.513693,-0.10255558,0.9183157006927797,POLR3E,0.104629636,-0.045360334,0.9638200979693516,USP7,-0.25885227,0.09829751,0.9216960600354492,AC103801.2,-19.842602,-0.008308816,0.9933706008218255,ZNF628,1.5748323,0.38937318,0.6970001168139922,CRTAP,-1.2843429,-0.066854544,0.9466975026667441
971,LINC00886,-22.857082,-0.12723473,0.898754621164965,YEATS2-AS1,-20.109438,-0.016586399,0.9867665752940747,SDCBP2,-21.885315,-0.06979758,0.9443547733732993,UBE2C,-22.482918,-0.10255558,0.9183157006927797,C8orf44,-0.18749227,-0.045626935,0.9636076007990396,R3HDM1,0.20137809,0.0979183,0.9219971666133358,PTGES3L,-19.808584,-0.008308816,0.9933706008218255,HCFC2,1.3555342,0.38800833,0.6980098794996084,RP11-554J4.1,-24.106977,-0.06737013,0.9462870485846024
972,HOMER2,-22.478794,-0.12723473,0.898754621164965,AC012499.1,-20.366522,-0.016586399,0.9867665752940747,RP11-879F14.2,-22.351543,-0.06979758,0.9443547733732993,SLC22A4,-22.523031,-0.10255558,0.9183157006927797,MBNL1-AS1,0.007863469,-0.045931622,0.9633647500561053,RP3-325F22.5,0.5124698,0.097834036,0.922064080706053,RP11-1136J12.1,-19.77948,-0.008308816,0.9933706008218255,PPP2R1B,0.89720637,0.38800833,0.6980098794996084,RP11-706O15.1,-24.208519,-0.06737013,0.9462870485846024
973,HP,-22.778486,-0.12723473,0.898754621164965,RP4-555D20.2,-20.173512,-0.016586399,0.9867665752940747,RAB6B,-22.04657,-0.06979758,0.9443547733732993,CXCL3,-22.60557,-0.10255558,0.9183157006927797,GID8,0.12133878,-0.04642674,0.962970124857453,CTB-113I20.2,0.47203892,0.09774977,0.9221309953504246,RP3-337O18.9,-20.04147,-0.008308816,0.9933706008218255,UBE3A,-0.06110463,0.38742337,0.6984427987701426,NEK8,-24.288609,-0.06737013,0.9462870485846024
974,GPR84,-22.379997,-0.12723473,0.898754621164965,RP1-111C20.3,-19.966047,-0.016586399,0.9867665752940747,DNAJC27,-22.0436,-0.06979758,0.9443547733732993,RPH3A,-22.550955,-0.10255558,0.9183157006927797,MIS18A,0.07409142,-0.04669334,0.9627576381169445,GPKOW,-0.422532,0.09774977,0.9221309953504246,RP11-76E12.1,-19.813019,-0.008308816,0.9933706008218255,IFIT2,0.3875271,0.38742337,0.6984427987701426,COL6A2,-24.202892,-0.06737013,0.9462870485846024
